Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Light Gradient Boosting Machine,0.6233,0.7092,0.68,0.6508,0.6538,0.2397,0.2562,0.08,"(2, 9, 16)"
Decision Tree Classifier,0.6022,0.5867,0.7333,0.6171,0.6684,0.1769,0.1824,0.074,"(2, 9, 16)"
Logistic Regression,0.5989,0.6805,0.6833,0.6348,0.6471,0.1759,0.1822,0.082,"(2, 9, 16)"
Ridge Classifier,0.5989,0.0,0.7233,0.6201,0.653,0.1757,0.1831,0.074,"(2, 9, 16)"
Dummy Classifier,0.5522,0.5,1.0,0.5522,0.7107,0.0,0.0,0.08,"(2, 9, 16)"
Naive Bayes,0.5511,0.6543,0.6533,0.597,0.6025,0.086,0.0917,0.074,"(2, 9, 16)"
SVM - Linear Kernel,0.5211,0.0,0.5,0.2867,0.3643,0.0,0.0,0.072,"(2, 9, 16)"
Quadratic Discriminant Analysis,0.5133,0.4758,0.8367,0.5386,0.6517,-0.0523,-0.0717,0.072,"(2, 9, 16)"
K Neighbors Classifier,0.4889,0.5013,0.5567,0.5219,0.5273,-0.0263,-0.0317,0.074,"(2, 9, 16)"
Linear Discriminant Analysis,0.7491,0.8268,0.7633,0.8056,0.7677,0.4939,0.5234,0.08,"(2, 9, 17)"
Gradient Boosting Classifier,0.6727,0.671,0.7433,0.6969,0.7105,0.3295,0.3346,0.129,"(2, 9, 17)"
Ada Boost Classifier,0.6527,0.6765,0.6067,0.7698,0.6585,0.3016,0.3277,0.108,"(2, 9, 17)"
Extra Trees Classifier,0.6382,0.6836,0.7433,0.6634,0.6908,0.2523,0.2589,0.146,"(2, 9, 17)"
Light Gradient Boosting Machine,0.6336,0.6368,0.75,0.6596,0.6936,0.25,0.2707,0.085,"(2, 9, 17)"
Random Forest Classifier,0.62,0.6595,0.8167,0.6283,0.7011,0.2086,0.2367,0.149,"(2, 9, 17)"
Ridge Classifier,0.5845,0.0,0.7633,0.6206,0.6713,0.1325,0.1435,0.07,"(2, 9, 17)"
Decision Tree Classifier,0.5791,0.5708,0.6467,0.6293,0.6233,0.1377,0.1476,0.077,"(2, 9, 17)"
Naive Bayes,0.5645,0.6328,0.6633,0.6066,0.6271,0.1138,0.1065,0.074,"(2, 9, 17)"
Dummy Classifier,0.5573,0.5,1.0,0.5573,0.7152,0.0,0.0,0.077,"(2, 9, 17)"
Quadratic Discriminant Analysis,0.53,0.4917,0.8333,0.5537,0.661,-0.0215,-0.022,0.077,"(2, 9, 17)"
Logistic Regression,0.4891,0.4307,0.63,0.5413,0.5694,-0.0488,-0.0423,0.081,"(2, 9, 17)"
K Neighbors Classifier,0.4827,0.4491,0.5433,0.5294,0.5271,-0.0601,-0.0704,0.077,"(2, 9, 17)"
SVM - Linear Kernel,0.4809,0.0,0.3667,0.2191,0.2733,-0.0364,-0.0408,0.077,"(2, 9, 17)"
Linear Discriminant Analysis,0.6789,0.7507,0.7133,0.7095,0.6993,0.3486,0.3592,0.08,"(2, 12, 13)"
Quadratic Discriminant Analysis,0.6444,0.6192,0.8533,0.6557,0.7313,0.2334,0.2486,0.08,"(2, 12, 13)"
Extra Trees Classifier,0.5844,0.6349,0.7367,0.6064,0.6556,0.1405,0.1546,0.141,"(2, 12, 13)"
Ada Boost Classifier,0.58,0.5787,0.6133,0.6177,0.6033,0.1453,0.1528,0.105,"(2, 12, 13)"
Dummy Classifier,0.5522,0.5,1.0,0.5522,0.7107,0.0,0.0,0.08,"(2, 12, 13)"
Gradient Boosting Classifier,0.5167,0.514,0.55,0.528,0.5242,0.0217,0.0321,0.118,"(2, 12, 13)"
Logistic Regression,0.5111,0.4408,0.6767,0.5405,0.5974,-0.0212,-0.0274,0.085,"(2, 12, 13)"
Ridge Classifier,0.5089,0.0,0.5733,0.5412,0.5485,-0.0097,-0.0011,0.077,"(2, 12, 13)"
Random Forest Classifier,0.5022,0.4833,0.6433,0.5434,0.5778,-0.0247,-0.0056,0.151,"(2, 12, 13)"
SVM - Linear Kernel,0.4989,0.0,0.4,0.2256,0.2881,0.0,0.0,0.078,"(2, 12, 13)"
Decision Tree Classifier,0.4611,0.4617,0.5133,0.4519,0.468,-0.0693,-0.0883,0.077,"(2, 12, 13)"
K Neighbors Classifier,0.4567,0.4392,0.6033,0.5032,0.5415,-0.1128,-0.1011,0.08,"(2, 12, 13)"
Light Gradient Boosting Machine,0.4322,0.4113,0.52,0.5062,0.4953,-0.1679,-0.1646,0.084,"(2, 12, 13)"
Naive Bayes,0.3878,0.3648,0.4667,0.4417,0.4479,-0.2634,-0.2775,0.08,"(2, 12, 13)"
Ada Boost Classifier,0.7292,0.7513,0.77,0.7481,0.7433,0.447,0.4672,0.099,"(2, 12, 15)"
Extra Trees Classifier,0.7222,0.7252,0.84,0.7214,0.7702,0.4252,0.4497,0.151,"(2, 12, 15)"
Light Gradient Boosting Machine,0.6889,0.7092,0.8,0.7136,0.7409,0.3388,0.3407,0.085,"(2, 12, 15)"
Gradient Boosting Classifier,0.6847,0.7029,0.735,0.7033,0.7034,0.3702,0.3808,0.124,"(2, 12, 15)"
Random Forest Classifier,0.675,0.6969,0.775,0.7113,0.7275,0.3072,0.3286,0.154,"(2, 12, 15)"
Decision Tree Classifier,0.6181,0.61,0.67,0.6742,0.6581,0.2164,0.2401,0.08,"(2, 12, 15)"
Quadratic Discriminant Analysis,0.6083,0.585,0.82,0.6282,0.6998,0.1649,0.1888,0.084,"(2, 12, 15)"
Linear Discriminant Analysis,0.5972,0.7208,0.525,0.7133,0.5761,0.2034,0.24,0.083,"(2, 12, 15)"
Ridge Classifier,0.5958,0.0,0.605,0.6464,0.6143,0.1821,0.1987,0.086,"(2, 12, 15)"
Logistic Regression,0.5639,0.5825,0.665,0.5926,0.6238,0.0946,0.1009,0.086,"(2, 12, 15)"
Dummy Classifier,0.5583,0.5,1.0,0.5583,0.7158,0.0,0.0,0.087,"(2, 12, 15)"
SVM - Linear Kernel,0.5222,0.0,0.8,0.4403,0.5674,0.0,0.0,0.08,"(2, 12, 15)"
Naive Bayes,0.4917,0.5188,0.505,0.5779,0.5238,-0.0258,-0.02,0.081,"(2, 12, 15)"
K Neighbors Classifier,0.4889,0.425,0.495,0.5508,0.5052,-0.0421,-0.0446,0.084,"(2, 12, 15)"
Gradient Boosting Classifier,0.6867,0.7357,0.7533,0.712,0.7151,0.3656,0.3972,0.124,"(2, 12, 16)"
Extra Trees Classifier,0.6711,0.8038,0.77,0.7056,0.7222,0.3222,0.3508,0.143,"(2, 12, 16)"
Linear Discriminant Analysis,0.6589,0.6932,0.7033,0.6875,0.683,0.3172,0.3332,0.08,"(2, 12, 16)"
Ridge Classifier,0.6333,0.0,0.6933,0.6685,0.6462,0.2527,0.2928,0.081,"(2, 12, 16)"
Random Forest Classifier,0.6322,0.7514,0.7033,0.6595,0.6714,0.2542,0.2633,0.156,"(2, 12, 16)"
Logistic Regression,0.6311,0.6747,0.7167,0.6708,0.6639,0.2542,0.2909,0.091,"(2, 12, 16)"
